postal_code,city,lat,long
30107,Alès,44.1249,4.0808
30101,Alès,44.1249,4.0808
30313,Alès,44.1249,4.0808
30311,Alès,44.1249,4.0808
30106,Alès,44.1249,4.0808
30102,Alès,44.1249,4.0808
30104,Alès,44.1249,4.0808
30103,Alès,44.1249,4.0808
11580,Alet-les-Bains,42.9945,2.2562
62650,Alette,50.518,1.8284
09320,Aleu,42.893,1.2662
74290,Alex,45.8902,6.2359
53240,Alexain,48.2293,-0.768
26770,Aleyrac,44.4995,4.9395
94147,Alfortville,48.8058,2.4204
94146,Alfortville,48.8058,2.4204
94149,Alfortville,48.8058,2.4204
94144,Alfortville,48.8058,2.4204
94143,Alfortville,48.8058,2.4204
94142,Alfortville,48.8058,2.4204
94145,Alfortville,48.8058,2.4204
94140,Alfortville,48.8058,2.4204
94141,Alfortville,48.8058,2.4204
94148,Alfortville,48.8058,2.4204
20220,Algajola,42.6079,8.8625
81470,Algans,43.5974,1.8926
68600,Algolsheim,48.0063,7.5595
57440,Algrange,49.3628,6.0509
39270,Alièze,46.5875,5.577
34290,Alignan-du-Vent,43.4702,3.3415
08310,Alincourt,49.4038,4.3454
62142,Alincthun,50.731,1.8022
21150,Alise-Sainte-Reine,47.5379,4.4859
07210,Alissas,44.7125,4.6294
69380,Alix,45.9127,4.6541
26300,Alixan,44.9743,5.0285
27460,Alizay,49.3216,1.1785
54170,Allain,48.549,5.9091
80200,Allaines,49.9632,2.9458
28310,Allaines-Mervilliers,48.2,1.8333
78660,Allainville,48.4569,1.8958
28500,Allainville,48.7223,1.3024
56350,Allaire,47.6373,-2.1651
54800,Allamont,49.1232,5.7624
54112,Allamps,48.5469,5.8095
26780,Allan,44.4971,4.7907
15160,Allanche,45.2291,2.9345
08130,Alland'Huy-et-Sausseuil,49.5126,4.5562
88110,Allarmont,48.4819,7.0129
17150,Allas-Bocage,45.3837,-0.4919
17500,Allas-Champagne,45.4707,-0.3351
24220,Allas-les-Mines,44.8334,1.0722
19240,Allassac,45.2584,1.4755
13190,Allauch,43.3357,5.482
13718,Allauch,43.3357,5.482
13719,Allauch,43.3357,5.482
43270,Allègre,45.1996,3.7117
30500,Allègre-les-Fumades,44.1997,4.2454
13980,Alleins,43.7039,5.162
04500,Allemagne-en-Provence,43.7819,6.007
51260,Allemanche-Launay-et-Soyer,48.6054,3.7877
24600,Allemans,45.2878,0.3091
47800,Allemans-du-Dropt,44.6275,0.2891
02320,Allemant,49.4616,3.454
51120,Allemant,48.7602,3.8001
38114,Allemond,45.1292,6.0371
80130,Allenay,50.0865,1.4911
48190,Allenc,44.5413,3.6616
25490,Allenjoie,47.5349,6.8974
59251,Allennes-les-Marais,50.5375,2.9536
67310,Allenwiller,48.6549,7.3755
21230,Allerey,47.1895,4.442
71350,Allerey-sur-Saône,46.9052,4.983
71380,Allériot,46.8142,4.9459
80270,Allery,49.964,1.8983
24480,Alles-sur-Dordogne,44.8592,0.8675
15100,Alleuze,44.95,3.1
38580,Allevard,45.3945,6.0752
74540,Allèves,45.752,6.0791
26400,Allex,44.7677,4.8984
43150,Alleyrac,44.8903,3.9864
43580,Alleyras,44.9065,3.6825
19200,Alleyrat,45.5768,2.2147
23200,Alleyrat,45.9892,2.1454
47110,Allez-et-Cazeneuve,44.4,0.6167
51250,Alliancelles,48.8101,4.8811
09400,Alliat,42.8173,1.5864
10700,Allibaudières,48.5847,4.113
52130,Allichamps,48.5614,4.8939
65360,Allier,43.1773,0.1225
09240,Allières,43.0361,1.3654
58200,Alligny-Cosne,47.4538,3.0601
58230,Alligny-en-Morvan,47.1997,4.1773
22460,Allineuc,48.3116,-2.8728
74200,Allinges,46.3355,6.4635
18110,Allogny,47.2254,2.3201
25550,Allondans,47.5193,6.748
73200,Allondaz,45.7059,6.3706
54260,Allondrelle,49.5117,5.5625
79130,Allonne,46.5823,-0.3826
60000,Allonne,49.4086,2.1143
49650,Allonnes,47.2934,0.0228
28150,Allonnes,48.3306,1.6561
72704,Allonnes,47.9674,0.1602
72702,Allonnes,47.9674,0.1602
72700,Allonnes,47.9674,0.1602
72703,Allonnes,47.9674,0.1602
72705,Allonnes,47.9674,0.1602
04170,Allons,43.9775,6.5951
47420,Allons,44.201,-0.0544
80260,Allonville,49.9404,2.3633
74350,Allonzier-la-Caille,46.0012,6.1186
04260,Allos,44.2411,6.6286
62157,Allouagne,50.5317,2.5119
